probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven
SWEEP, BROOM, j,0:06,0,0:12,9999999,f
DARK, LIGHT, j,0:06,0:02,0:10,10101010101010,j
SYRUP, HONEY, j,0:06,0:06,0:06,1111111,f
CIRCUS, CLOWN, j,0:09,0,0:09,2222222,j
GREEK, LATIN, j,0:09,0:02,0:07,3333333,f
DUSK, DAWN, j,0:09,0:06,0:03,4444444,j
DOCTOR, NURSE, j,0:06,0,0:12,5555555,f
NARROW, WIDE, j,0:06,0:02,0:10,6666666,j
BORROW, LEND, f,0:06,0:06,0:06,7777777,f
SOFT, HARD, j,0:09,0,0:09,8888888,j
PLOW, FIELD, f,0:09,0:02,0:07,9999999,f
FLAME, FIRE, f,0:09,0:06,0:03,10101010101010,j
PLUS, MINUS, j,0:06,0,0:12,1111111,f
HOTTER, COLDER, j,0:06,0:02,0:10,2222222,j
SILK, SATIN, f,0:06,0:06,0:06,3333333,f
DEAD, ALIVE, j,0:09,0,0:09,4444444,j
DWARF, MIDGET, f,0:09,0:02,0:07,5555555,f
HOUSE, HOME, f,0:09,0:06,0:03,6666666,j
PLUMBER, PIPE, f,0:06,0,0:12,7777777,f
DIM, BRIGHT, j,0:06,0:02,0:10,8888888,j
LIFT, CARRY, j,0:06,0:06,0:06,9999999,f
PINT, QUART, j,0:09,0,0:09,10101010101010,j
ALMOND, NUT, f,0:09,0:02,0:07,1111111,f
THIRST, HUNGER, j,0:09,0:06,0:03,2222222,j
BAKE, OVEN, j,0:06,0,0:12,3333333,f
SMALL, TINY, f,0:06,0:02,0:10,4444444,j
PEOPLE, CROWD, f,0:06,0:06,0:06,5555555,f
FLOAT, SINK, j,0:09,0,0:09,6666666,j
MILDEW, MOLD, f,0:09,0:02,0:07,7777777,f
EAST, WEST, j,0:09,0:06,0:03,8888888,j
TUXEDO, SUIT, j,0:06,0,0:12,9999999,f
FAST, SLOW, j,0:06,0:02,0:10,10101010101010,j
AUNT, UNCLE, j,0:06,0:06,0:06,1111111,f
DUMB, SMART, j,0:09,0,0:09,2222222,j
SOME, NONE, j,0:09,0:02,0:07,3333333,i
SAFE, VAULT, j,0:09,0:06,0:03,4444444,j
PARTY, BASH, f,0:06,0,0:12,5555555,f
HEAR, LISTEN, f,0:06,0:02,0:10,6666666,j
GOOSE, DUCK, j,0:06,0:06,0:06,77777777,f
THINNER, FATTER, j,0:09,0,0:09,8888888,j
MEMORY, MIND, j,0:09,0:02,0:07,999999999,f
SEARCH, HUNT, f,0:09,0:06,0:03,10101010101010,j
